tag,mode,frame,det_ms,nav_ms,total_ms,fps,objects
yolo11tiny_1.3.1,stress,48,0.02,0.03,0.05,21958.24,0
yolo11tiny_1.3.1,stress,49,0.02,0.03,0.05,20636.43,0
yolo11tiny_1.3.1,stress,50,0.02,0.03,0.05,21371.63,0
yolo11tiny_1.3.1,stress,51,0.02,0.03,0.05,20833.33,0
yolo11tiny_1.3.1,stress,52,0.02,0.03,0.05,20833.33,0
yolo11tiny_1.3.1,stress,53,0.02,0.03,0.05,19769.1,0
yolo11tiny_1.3.1,stress,54,0.02,0.03,0.05,21938.0,0
yolo11tiny_1.3.1,stress,55,0.03,0.03,0.07,14440.43,0
yolo11tiny_1.3.1,stress,56,0.02,0.02,0.04,25183.84,0
yolo11tiny_1.3.1,stress,57,0.04,0.03,0.07,14814.81,0
yolo11tiny_1.3.1,stress,58,0.04,0.06,0.1,10182.47,0
yolo11tiny_1.3.1,stress,59,0.02,0.03,0.05,21258.05,0
yolo11tiny_1.3.1,stress,60,0.02,0.03,0.05,20016.41,0
yolo11tiny_1.3.1,stress,61,0.13,0.15,0.29,3464.7,0
yolo11tiny_1.3.1,stress,62,0.02,0.03,0.05,21467.06,0
yolo11tiny_1.3.1,stress,63,0.03,0.03,0.05,18779.34,0
yolo11tiny_1.3.1,stress,64,0.02,0.02,0.04,22305.0,0
yolo11tiny_1.3.1,stress,65,0.03,0.04,0.07,14059.75,0
yolo11tiny_1.3.1,stress,66,0.02,0.02,0.04,22471.91,0
yolo11tiny_1.3.1,stress,67,0.02,0.03,0.05,20887.73,0
yolo11tiny_1.3.1,stress,68,0.02,0.03,0.05,19464.72,0
yolo11tiny_1.3.1,stress,69,0.02,0.02,0.04,24665.78,0
yolo11tiny_1.3.1,stress,70,0.02,0.02,0.04,23054.76,0
yolo11tiny_1.3.1,stress,71,0.03,0.03,0.06,15915.2,0
yolo11tiny_1.3.1,stress,72,0.02,0.02,0.05,22201.5,0
yolo11tiny_1.3.1,stress,73,0.03,0.03,0.06,17106.3,0
yolo11tiny_1.3.1,stress,74,0.03,0.02,0.06,18140.59,0
yolo11tiny_1.3.1,stress,75,0.02,0.02,0.04,25157.23,0
yolo11tiny_1.3.1,stress,76,0.02,0.02,0.04,22388.39,0
yolo11tiny_1.3.1,stress,77,0.02,0.02,0.04,24818.82,0
yolo11tiny_1.3.1,stress,78,0.02,0.04,0.07,14571.95,0
yolo11tiny_1.3.1,stress,79,0.02,0.02,0.04,22641.34,0
yolo11tiny_1.3.1,stress,80,0.04,0.03,0.07,14226.37,0
yolo11tiny_1.3.1,stress,81,0.02,0.03,0.05,19900.5,0
yolo11tiny_1.3.1,stress,82,0.02,0.03,0.05,18575.62,0
yolo11tiny_1.3.1,stress,83,0.02,0.03,0.05,18942.62,0
yolo11tiny_1.3.1,stress,84,0.02,0.03,0.04,22242.98,0
yolo11tiny_1.3.1,stress,85,0.02,0.02,0.04,22705.6,0
yolo11tiny_1.3.1,stress,86,0.02,0.05,0.07,14545.45,0
yolo11tiny_1.3.1,stress,87,0.02,0.03,0.05,20530.51,0
yolo11tiny_1.3.1,stress,88,0.02,0.03,0.05,20743.45,0
yolo11tiny_1.3.1,stress,89,0.02,0.04,0.05,18236.86,0
yolo11tiny_1.3.1,stress,90,0.02,0.03,0.05,20117.49,0
yolo11tiny_1.3.1,stress,91,0.02,0.03,0.05,20253.16,0
yolo11tiny_1.3.1,stress,92,0.02,0.02,0.04,23645.13,0
yolo11tiny_1.3.1,stress,93,0.03,0.03,0.06,16574.68,0
yolo11tiny_1.3.1,stress,94,0.02,0.03,0.05,19559.9,0
yolo11tiny_1.3.1,stress,95,0.03,0.04,0.07,15257.62,0
yolo11tiny_1.3.1,stress,96,0.02,0.03,0.05,21390.37,0
yolo11tiny_1.3.1,stress,97,0.02,0.02,0.04,22493.14,0
yolo11tiny_1.3.1,stress,98,0.02,0.03,0.05,20460.36,0
yolo11tiny_1.3.1,stress,99,0.02,0.03,0.05,20618.56,0
yolo11tiny_1.3.1,stress,100,0.02,0.03,0.05,20960.85,0
yolo11tiny_1.3.1,stress,101,0.02,0.03,0.05,20583.33,0
yolo11tiny_1.3.1,stress,102,0.02,0.03,0.05,20796.94,0
yolo11tiny_1.3.1,stress,103,0.02,0.03,0.05,19246.31,0
yolo11tiny_1.3.1,stress,104,0.02,0.03,0.05,21739.13,0
yolo11tiny_1.3.1,stress,105,0.05,0.02,0.07,14661.04,0
yolo11tiny_1.3.1,stress,106,0.03,0.04,0.07,15151.52,0
yolo11tiny_1.3.1,stress,107,0.02,0.02,0.04,22900.59,0
yolo11tiny_1.3.1,stress,108,0.02,0.02,0.04,24266.54,0
yolo11tiny_1.3.1,stress,109,0.08,0.13,0.21,4874.08,0
yolo11tiny_1.3.1,stress,110,0.02,0.02,0.04,23098.96,0
yolo11tiny_1.3.1,stress,111,0.02,0.02,0.03,28915.11,0
yolo11tiny_1.3.1,stress,112,0.01,0.02,0.03,32128.51,0
yolo11tiny_1.3.1,stress,113,0.02,0.02,0.04,24365.88,0
yolo11tiny_1.3.1,stress,114,0.02,0.02,0.04,24792.98,0
yolo11tiny_1.3.1,stress,115,0.02,0.02,0.04,24169.18,0
yolo11tiny_1.3.1,stress,116,0.02,0.03,0.05,21563.34,0
yolo11tiny_1.3.1,stress,117,0.02,0.03,0.05,20033.66,0
